disc,steam,mmr,pos1,pos2,pos3,pos4,pos5
259370592984104960,111886427,4690,5,5,1,5,5
367058803763445760,125242012,2780,3,2,1,5,5
1070100769853943859,137160207,3750,5,1,1,1,3
376102816151896065,413950639,3400,2,2,1,5,5
458993646012858368,120033895,2480,4,5,3,1,1
230389532728492033,59202136,4060,2,1,2,5,5
206843167394365440,64711066,1610,5,5,5,1,2
270954490578862081,135984503,2920,4,5,5,1,1
128653806723530753,65159250,4160,1,5,3,4,4
119172828867067906,109607718,3000,5,4,1,1,3
238402271849742336,159179884,3000,4,2,4,3,3